Customer,Destination Company Name,Carrier,Ship Date,PRO/Tracking#,BOL #,Estimated Delivery Date,Sender Company Name,Status,Sender Zip,Receiver Zip,Sender Address Line1,Receiver Address Line1,Sender Address Line2,Receiver Address Line2
ORBIT DISTRO LLC,ACTIVE DISTRIBUTORS,DAYLIGHT TRANSPORT,2025-07-23 13:17:00,,BLL18864189,2025-07-28,ORBIT DISTRO LLC,PENDING_PICKUP,75220,11803,2830 Ladybird Ln,112 Dupont St,,
ORBIT DISTRO LLC,Sai Aradhya LLC,DUGAN TRUCK LINE LLC,2025-07-23 10:30:00,,BLL18856651,2025-07-24,Frontline Wholesale,VOID,75229,64801,11528 Harry Hines Blvd,5277 N Main St,Ste A106,Ste A106
ORBIT DISTRO LLC,Safa Goods,SOUTHEASTERN FREIGHT LINES,2025-07-23 00:00:00,,BLL18830423,2025-07-25,ORBIT DISTRO LLC,PENDING_PICKUP,75220,33982,2830 Ladybird Ln,8264 Duffie Dr,,
ORBIT DISTRO LLC,Swift Wholesale,AAA COOPER TRANSPORTATION,2025-07-22 17:23:00,67068214,BLL18828542,2025-07-24,Elite Distributors LLC,PENDING_PICKUP,32809,28269,1716 Premier Row,5400 W W T Harris Blvd,Ste A,Ste A
ORBIT DISTRO LLC,Swift Wholesale,AVERITT,2025-07-22 15:25:00,,BLL18818106,2025-07-23,Elite Distributors LLC,VOID,32809,28269,1716 Premier Row,5400 W W T Harris Blvd,Ste A,Ste A
ORBIT DISTRO LLC,KING DISTRO INC,SOUTHWESTERN MOTOR TRANSPORT,2025-07-22 14:37:00,,BLL18819529,2025-07-29,ORBIT DISTRO LLC,VOID,75220,95834,2830 LADYBIRD LANE,4650 NORTHGATE BLVD,,
ORBIT DISTRO LLC,Real Wholesale,AVERITT,2025-07-22 14:23:00,0690197485,BLL18817908,2025-07-24,Elite Distributors LLC,IN_TRANSIT,32809,29406,1716 Premier Row,2460 Remount Rd,Ste A,Ste A
ORBIT DISTRO LLC,Sai Aradhya LLC,RL Carriers,2025-07-22 12:11:00,,BLL18802475,2025-07-24,Frontline Wholesale,VOID,75229,64801,11528 Harry Hines Blvd,5277 N Main St,Ste A106,Ste A106
ORBIT DISTRO LLC,Golden Door Wholesale And Distribution,DAYLIGHT TRANSPORT,2025-07-22 11:51:00,157171901,BLL18799577,2025-07-24,ORBIT DISTRO LLC,IN_TRANSIT,75220,30071,2830 Ladybird Ln,6459 Atlantic Blvd,,
ORBIT DISTRO LLC,Elements Distribution,DAYLIGHT TRANSPORT,2025-07-22 11:48:00,157171919,BLL18799277,2025-07-24,ORBIT DISTRO LLC,IN_TRANSIT,75220,30093,2830 Ladybird Ln,5730 Oakbrook Pkwy,,
